Pagina,Id,Omschrijving,Begin geldigheid,Gerelateerd
Onbeslist,4,Onbeslist,2019-12-24,
Onbekend,3,Onbekend,2019-12-24,
Goedgekeurd,2,Goedgekeurd,2019-12-24,
Afgekeurd,1,Afgekeurd,2019-12-24,
