Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Structural,7,S,Structural,2014-01-16,
Synergie (NL),6,SY,Synergie (NL),2014-01-16,
Research and Technological Development,5,RTD,Research and Technological Development,2014-01-16,
Rural Development,4,RD,Rural Development,2014-01-16,
LIFE+,3,L,LIFE+,2014-01-16,
Fisheries,2,F,Fisheries,2014-01-16,
Cohesion,1,C,Cohesion,2014-01-16,
