Pagina,Id,Code,Omschrijving,Groep,Afkorting,Begin geldigheid,Gerelateerd
sloten,29,117,sloten,"functionele wateren, gegraven",5000000,2011-10-07,sloot
diepe niet-lijnvormige stadswateren,28,116,diepe niet-lijnvormige stadswateren,"functionele wateren, gegraven",4070000,2011-10-07,
ondiepe niet-lijnvormige stadswateren,27,115,ondiepe niet-lijnvormige stadswateren,"functionele wateren, gegraven",4060000,2011-10-07,
smalle lijnvormige stadswateren,26,114,smalle lijnvormige stadswateren,"functionele wateren, gegraven",4050000,2011-10-07,
brede lijnvormige stadswateren,25,113,brede lijnvormige stadswateren,"functionele wateren, gegraven",4040000,2011-10-07,
stromende stadswateren,24,112,stromende stadswateren,"functionele wateren, gegraven",4030000,2011-10-07,
stadswateren,23,111,stadswateren,"functionele wateren, gegraven",4000000,2011-10-07,
overige rivieren,22,110,overige rivieren,wateren van het rivierenstelsel,3990000,2011-10-07,
veenbeken,21,11,veenbeken,wateren van het rivierenstelsel,2130000,2011-10-07,
rivieren,20,109,rivieren,wateren van het rivierenstelsel,3000000,2011-10-07,rivier
verticale bronnen (rheokrenen),2,2,verticale bronnen (rheokrenen),wateren van het rivierenstelsel,1020000,2011-10-07,
heuvellandbeken benedenloop,19,108,heuvellandbeken benedenloop,wateren van het rivierenstelsel,2120000,2011-10-07,
heuvellandbeken middenloop,18,107,heuvellandbeken middenloop,wateren van het rivierenstelsel,2110000,2011-10-07,
heuvellandbeken bovenloop,17,106,heuvellandbeken bovenloop,wateren van het rivierenstelsel,2100000,2011-10-07,
heuvellandbeken,16,105,heuvellandbeken,wateren van het rivierenstelsel,2090000,2011-10-07,
laaglandbeken benedenloop,15,104,laaglandbeken benedenloop,wateren van het rivierenstelsel,2080000,2011-10-07,
laaglandbeken middenloop,14,103,laaglandbeken middenloop,wateren van het rivierenstelsel,2070000,2011-10-07,
laaglandbeken bovenloop,13,102,laaglandbeken bovenloop,wateren van het rivierenstelsel,2060000,2011-10-07,
beken,12,101,beken,wateren van het rivierenstelsel,2000000,2011-10-07,beek
zee,111,95,zee,"stagnante wateren, al dan niet gegraven",17000000,2011-10-07,zee
overige getijdewateren,110,94,overige getijdewateren,"stagnante wateren, al dan niet gegraven",16040000,2011-10-07,
bronnen,11,100,bronnen,wateren van het rivierenstelsel,1000000,2011-10-07,bron
wadden,109,83,wadden,"stagnante wateren, al dan niet gegraven",16030000,2011-10-07,wad
rivierdelta-estuaria,108,82,rivierdelta-estuaria,"stagnante wateren, al dan niet gegraven",16020000,2011-10-07,estuarium
zoute meren,107,81,zoute meren,"stagnante wateren, al dan niet gegraven",16080000,2011-10-07,
inlagen,106,80,inlagen,"stagnante wateren, al dan niet gegraven",16070000,2011-10-07,inlaag
kreken,105,79,kreken,"stagnante wateren, al dan niet gegraven",16060000,2011-10-07,kreek
dobben,104,75,dobben,"stagnante wateren, al dan niet gegraven",16050000,2011-10-07,
overige meren en plassen,103,74,overige meren en plassen,"stagnante wateren, al dan niet gegraven",14990000,2011-10-07,
randmeren,102,73,randmeren,"stagnante wateren, al dan niet gegraven",14060000,2011-10-07,randmeren
veenpolderplassen,101,71,veenpolderplassen,"stagnante wateren, al dan niet gegraven",14050000,2011-10-07,
droogleggingsplassen,100,70,droogleggingsplassen,"stagnante wateren, al dan niet gegraven",14040000,2011-10-07,
laaglandbeken,10,10,laaglandbeken,wateren van het rivierenstelsel,2050000,2011-10-07,
trechtervormige bronnen (limnokrenen),1,1,trechtervormige bronnen (limnokrenen),wateren van het rivierenstelsel,1000000,2011-10-07,
