Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Sterk veranderd,3,S,Sterk veranderd,2011-05-24,sterk veranderd waterlichaam
Natuurlijk,2,N,Natuurlijk,2011-05-24,natuurlijk waterlichaam
Kunstmatig,1,K,Kunstmatig,2011-05-24,kunstmatig waterlichaam
