Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Zwemwater,5,,Zwemwater,2011-11-11,zwemwater
Vogelrichtlijngebied,4,,Vogelrichtlijngebied,2011-11-11,
Schelpdierwater,3,,Schelpdierwater,2011-11-11,
Onttrekking voor menselijke consumptie,2,,Onttrekking voor menselijke consumptie,2011-11-11,
Habitatrichtlijn gebied,1,,Habitatrichtlijn gebied,2011-11-11,gebiedhabitatrichtlijn
