Pagina,Id,Code,Omschrijving,Groep,Omrekenfactor,Dimensie,Begin geldigheid,Gerelateerd
exemplaren per hectometer,323,n/hm,exemplaren per hectometer,Aantal,0.01,X/L,2015-10-03,
microsiemens per meter,322,uS/m,microsiemens per meter,SI afgeleide eenheid,0.000001,T3I2/L3M,2015-07-22,
terajoule per dag,321,TJ/d,terajoule per dag,SI afgeleide eenheid,11574074.07,L2M/T3,2015-07-22,
terajoule per jaar,320,TJ/a,terajoule per jaar,SI afgeleide eenheid,,L2M/T3,2015-07-22,
ton per maand,319,ton/mnd,ton per maand,SI afgeleide eenheid,,M/T,2021-12-10,
ton per dag,318,ton/d,ton per dag,SI afgeleide eenheid,0.01157407,M/T,2021-12-10,
mega kubieke meter per jaar,317,Mm3/a,mega kubieke meter per jaar,SI afgeleide eenheid,,L3/T,2015-07-22,
milliliter per dag,316,ml/d,milliliter per dag,SI afgeleide eenheid,1.157407E-11,L3/T,2015-07-22,
megajoule per ton,315,MJ/ton,megajoule per ton,SI afgeleide eenheid,1000,L2M/T2M,2015-07-22,
megajoule per dag,314,MJ/d,megajoule per dag,SI afgeleide eenheid,11.57407407,L2M/T3,2015-07-22,
megajoule per jaar,313,MJ/a,megajoule per jaar,SI afgeleide eenheid,,L2M/T3,2015-07-22,
milligram per seconde,312,mg/s,milligram per seconde,SI afgeleide eenheid,0.000001,M/T,2015-07-22,
milligram per dag,311,mg/d,milligram per dag,SI afgeleide eenheid,1.157407E-11,M/T,2015-07-22,
milligram per jaar,310,mg/a,milligram per jaar,SI afgeleide eenheid,,M/T,2015-07-22,
kubieke meter per week,309,m3/w,kubieke meter per week,SI afgeleide eenheid,1.653439E-06,L3/T,2015-07-22,
liter per jaar,308,l/a,liter per jaar,SI afgeleide eenheid,,L3/T,2015-07-22,
kilojoule per seconde,307,kJ/s,kilojoule per seconde,SI afgeleide eenheid,1000,L2M/T3,2015-07-22,
kilojoule per dag,306,kJ/d,kilojoule per dag,SI afgeleide eenheid,1.157407E-02,L2M/T3,2015-07-22,
kilogram per seconde,305,kg/s,kilogram per seconde,SI afgeleide eenheid,1,M/T,2015-07-22,
kilogram per liter,304,kg/l,kilogram per liter,SI afgeleide eenheid,1000,M/L3,2015-07-22,
kilogram per dag,303,kg/d,kilogram per dag,SI afgeleide eenheid,1.157407E-05,M/T,2015-07-22,
joule per seconde,302,J/s,joule per seconde,SI afgeleide eenheid,1,L2M/T3,2015-07-22,
joule per dag,301,J/d,joule per dag,SI afgeleide eenheid,1.157407E-05,L2M/T3,2015-07-22,
kubieke hectometer per dag,300,hm3/d,kubieke hectometer per dag,SI afgeleide eenheid,11.57407407,L3/T,2015-07-22,
gram per kilogram,30,g/kg,gram per kilogram,SI afgeleide eenheid,0.001,M/M,2012-12-11,
gigajoule per seconde,299,GJ/s,gigajoule per seconde,SI afgeleide eenheid,1000000000,L2M/T3,2015-07-22,
gigajoule per dag,298,GJ/d,gigajoule per dag,SI afgeleide eenheid,11574.07407,L2M/T3,2015-07-22,
gram per maand,297,g/mnd,gram per maand,SI afgeleide eenheid,,M/T,2015-07-22,
microgram per kubieke meter,296,ug/m3,microgram per kubieke meter,SI afgeleide eenheid,0.000000001,M/L3,2015-02-12,
picogram per liter,295,pg/l,picogram per liter,SI afgeleide eenheid,1e-12,M/L3,2014-11-06,
millimeter per maand,294,mm/mnd,millimeter per maand,SI afgeleide eenheid,,L/T,2014-10-28,
millimeter per uur,293,mm/h,millimeter per uur,SI afgeleide eenheid,2.777778E-07,L/T,2014-10-28,
millimeter per jaar,292,mm/a,millimeter per jaar,SI afgeleide eenheid,,L/T,2014-10-28,
liter per dag,291,l/d,liter per dag,SI afgeleide eenheid,1.157407E-08,L3/T,2014-04-17,
nanogram,290,ng,nanogram,SI afgeleide eenheid,1e-12,M,2014-09-13,
microgram,289,ug,microgram,SI afgeleide eenheid,1e-09,M,2014-09-13,
milligram,288,mg,milligram,SI afgeleide eenheid,0.000001,M,2014-09-13,
Formazine Nephelometric Unit,287,FNU,Formazine Nephelometric Unit,Overig,,,2013-10-19,
European Brewery Convention Turbidity Unit,286,EBC,European Brewery Convention Turbidity Unit,Overig,,,2013-10-19,
kilogram per hectare per jaar,284,kg/ha.a,kilogram per hectare per jaar,SI afgeleide eenheid,,M/L2T,2012-11-28,
candela per vierkante meter,283,cd/m2,candela per vierkante meter,SI afgeleide eenheid,1,J/L2,2013-02-09,
candela,282,cd,candela,SI grondeenheid,1,J,2021-12-10,
per meter,281,/m,per meter,SI afgeleide eenheid,1,/L,2013-02-09,
micromol per vierkante meter per seconde,280,umol/m2.s,micromol per vierkante meter per seconde,SI afgeleide eenheid,0.000001,N/L2T,2013-02-12,
milligram per vierkante meter per dag,279,mg/m2.d,milligram per vierkante meter per dag,SI afgeleide eenheid,1.157407E-11,M/L2T,2013-05-15,
liter per seconde per hectare,278,l/s.ha,liter per seconde per hectare,SI afgeleide eenheid,10,L3/L2T,2013-08-03,
vierkante kilometer,277,km2,vierkante kilometer,SI afgeleide eenheid,1000000,L2,2013-08-03,
milligram per vierkante meter,276,mg/m2,milligram per vierkante meter,SI afgeleide eenheid,0.000001,M/L2,2013-08-23,
wattuur per kilogram,275,Wh/kg,wattuur per kilogram,SI afgeleide eenheid,3600,L2M/MT2,2020-11-06,
wattuur per inwoner equivalent,274,Wh/ie,wattuur per inwoner equivalent,Overig,,,2011-06-10,
week,273,w,week,SI afgeleide eenheid,604800,T,2020-12-01,
vervuilingseenheden,272,ve,vervuilingseenheden,Overig,,,2011-06-10,
microseconde,271,us,microseconde,SI afgeleide eenheid,0.000001,T,2012-12-11,
micromol per liter,270,umol/l,micromol per liter,SI afgeleide eenheid,0.001,N/L3,2012-12-11,
gram,27,g,gram,SI afgeleide eenheid,0.001,M,2012-12-11,
micromol per kilogram,269,umol/kg,micromol per kilogram,SI afgeleide eenheid,0.000001,N/M,2012-12-11,
microgram per milligram,268,ug/mg,microgram per milligram,SI afgeleide eenheid,0.001,M/M,2012-12-11,
