Pagina,Id,Omschrijving,Toelichting,Begin geldigheid,Gerelateerd
OordeelOver,3,OordeelOver,Een oordeel over een berekende waarde,2015-11-25,
ExtraBeschrijvingBij,2,ExtraBeschrijvingBij,Een extra beschrijving van een kenmerk,2015-11-25,
IsBerekendUit,1,IsBerekendUit,Een berekende waarde uit een waarneming of een gestandaardiseerde waarde uit een waarneming of berekende waarde,2015-11-25,
