Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Nog geen oordeel,8,NGO,Nog geen oordeel,,2022-07-02,
Overstroming- of faalkans van het dijktraject is veel groter dan de signaleringsparameter en dan de omgevingswaarde,7,D,Overstroming- of faalkans van het dijktraject is veel groter dan de signaleringsparameter en dan de omgevingswaarde,,2022-07-02,
Overstroming- of faalkans van het dijktraject is groter dan de signaleringsparameter en ook groter dan de omgevingswaarde,6,C,Overstroming- of faalkans van het dijktraject is groter dan de signaleringsparameter en ook groter dan de omgevingswaarde,,2022-07-02,
"Overstroming- of faalkans van het dijktraject is groter dan signaleringsparameter, maar kleiner dan de omgevingswaarde",5,B,"Overstroming- of faalkans van het dijktraject is groter dan signaleringsparameter, maar kleiner dan de omgevingswaarde",,2022-07-02,
Overstroming- of faalkans van het dijktraject is kleiner dan de signaleringsparameter,4,A,Overstroming- of faalkans van het dijktraject is kleiner dan de signaleringsparameter,,2022-07-02,
Overstroming- of faalkans van het dijktraject is veel kleiner dan de signaleringsparameter,3,A+,Overstroming- of faalkans van het dijktraject is veel kleiner dan de signaleringsparameter,,2022-07-02,
Voldoet niet aan de norm,2,VOLDNT,Voldoet niet aan de norm,,2016-03-12,
Voldoet aan de norm,1,VOLDT,Voldoet aan de norm,,2016-03-12,
