Pagina,Id,Omschrijving,Waarde,Begin geldigheid,Gerelateerd
niet herkenbaar,3,niet herkenbaar,niet herkenbaar,2018-05-02,
natuurlijk,2,natuurlijk,natuurlijk,2018-05-02,
antropogeen,1,antropogeen,antropogeen,2018-05-02,antropogeen
