Pagina,Id,Code,Omschrijving,Afkorting,Begin geldigheid,Gerelateerd
onbekend,4,99,onbekend,99,2011-10-19,
slecht,3,3,slecht,3,2011-10-19,
matig,2,2,matig,2,2011-10-19,
goed,1,1,goed,1,2011-10-19,Id-0e4484f2-f46a-4735-9490-6f0aa0b3dace
