Pagina,Id,Omschrijving,Waarde,Begin geldigheid,Gerelateerd
zeer donker,5,zeer donker,zeer donker,2018-05-02,
donker,4,donker,donker,2018-05-02,
neutraal,3,neutraal,neutraal,2018-05-02,
licht,2,licht,licht,2018-05-02,licht
zeer licht,1,zeer licht,zeer licht,2018-05-02,
