Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Schelde,8,NLSC,Schelde,Stroomgebiedsdistrict,2025-11-26,
Rijn-West,7,NLRNWE,Rijn-West,Deelstroomgebied,2025-11-26,
Rijn-Oost,6,NLRNOO,Rijn-Oost,Deelstroomgebied,2025-11-26,
Rijn-Noord,5,NLRNNO,Rijn-Noord,Deelstroomgebied,2025-11-26,
Rijn-Midden,4,NLRNMI,Rijn-Midden,Deelstroomgebied,2025-11-26,
Rijn,3,NLRN,Rijn,Stroomgebiedsdistrict,2025-11-26,
Maas,2,NLMS,Maas,Stroomgebiedsdistrict,2025-11-26,
Eems,1,NLEM,Eems,Stroomgebiedsdistrict,2025-11-26,
