Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Grondwater voor drinkwaterwinning - richtwaarden,51,DWB11_GWD_RW,Grondwater voor drinkwaterwinning - richtwaarden,Waterkwaliteit-chemie,2020-11-28,
KRW grondwater,50,KRW09_GW,KRW grondwater,Waterkwaliteit-chemie,2020-11-28,
Bagger bij verspreiden op aangrenzend perceel (landbodem),5,BBK_T05_BS,Bagger bij verspreiden op aangrenzend perceel (landbodem),Bodemkwaliteit,2020-11-25,
ZWR2006 kust- en overgangswateren,49,ZWR06_KOW,ZWR2006 kust- en overgangswateren,Waterkwaliteit-chemie,2020-11-28,
ZWR2006 binnenwateren,48,ZWR06_BW,ZWR2006 binnenwateren,Waterkwaliteit-chemie,2020-11-28,
NW4 zwevend stof - zout - streefwaarden,47,NW4_ZS_A_SW,NW4 zwevend stof - zout - streefwaarden,Waterkwaliteit-chemie,2020-11-28,
NW4 zwevend stof - zout - MTR,46,NW4_ZS_A_MTR,NW4 zwevend stof - zout - MTR,Waterkwaliteit-chemie,2020-11-28,
NW4 zwevend stof - zoet - streefwaarden,45,NW4_ZS_L_SW,NW4 zwevend stof - zoet - streefwaarden,Waterkwaliteit-chemie,2020-11-28,
NW4 zwevend stof - zoet - MTR,44,NW4_ZS_L_MTR,NW4 zwevend stof - zoet - MTR,Waterkwaliteit-chemie,2020-11-28,
BKMW2009 drinkwaterwinning - streefwaarden,43,B910_OWD_SW,BKMW2009 drinkwaterwinning - streefwaarden,Waterkwaliteit-chemie,2020-11-28,
BKMW2009 drinkwaterwinning - richtwaarden,42,B910_OWD_RW,BKMW2009 drinkwaterwinning - richtwaarden,Waterkwaliteit-chemie,2020-11-28,
KRW fysisch-chemisch,41,KRW09_FC,KRW fysisch-chemisch,Waterkwaliteit-chemie,2020-11-28,
MKN zout,40,KRW09_MKN_A,MKN zout,Waterkwaliteit-chemie,2020-11-28,
Grond bij toepassing in bodem of oever van oppervlaktewater,4,BBK_T04_BS,Grond bij toepassing in bodem of oever van oppervlaktewater,Bodemkwaliteit,2020-11-25,
MKN zoet,39,KRW09_MKN_L,MKN zoet,Waterkwaliteit-chemie,2020-11-28,
