Pagina,Id,Omschrijving,Groep,Waarde,Begin geldigheid,Gerelateerd
Gepenetreerde slakken,188,Gepenetreerde slakken,Slakken,Gepenetreerde slakken,2021-11-26,
? Asfalt,187,? Asfalt,Asfalt,? Asfalt,2018-05-02,
? 0/8,186,? 0/8,Asfalt,? 0/8,2018-05-02,
? 0/6,185,? 0/6,Asfalt,? 0/6,2018-05-02,
? 0/22,184,? 0/22,Asfalt,? 0/22,2018-05-02,
? 0/16,183,? 0/16,Asfalt,? 0/16,2018-05-02,
? 0/11,182,? 0/11,Asfalt,? 0/11,2018-05-02,
ZOAB fijn,179,ZOAB fijn,Asfalt,zeer open asfaltbeton fijn,2018-05-02,
ZOAB 0/8,178,ZOAB 0/8,Asfalt,zeer open asfaltbeton 0/8,2018-05-02,
ZOAB 0/16,177,ZOAB 0/16,Asfalt,zeer open asfaltbeton 0/16,2018-05-02,
ZOAB 0/11,176,ZOAB 0/11,Asfalt,zeer open asfaltbeton 0/11,2018-05-02,
ZOAB,175,ZOAB,Asfalt,zeer open asfaltbeton,2018-05-02,
zandasfalt,172,zandasfalt,Asfalt,zandasfalt,2018-05-02,zandasfalt
WAB 0/22,168,WAB 0/22,Asfalt,WAB 0/22,2018-05-02,
WAB 0/16,167,WAB 0/16,Asfalt,WAB 0/16,2018-05-02,
WAB,166,WAB,Asfalt,WAB,2018-05-02,
strijkasfalt,154,strijkasfalt,Asfalt,strijkasfalt,2018-05-02,
STAB 0/22,151,STAB 0/22,Asfalt,steenslagasfaltbeton 0/22,2018-05-02,
STAB 0/16-0/22,150,STAB 0/16-0/22,Asfalt,steenslagasfaltbeton 0/16-0/22,2018-05-02,
STAB 0/16,149,STAB 0/16,Asfalt,steenslagasfaltbeton 0/16,2018-05-02,
STAB,148,STAB,Asfalt,steenslagasfaltbeton,2018-05-02,
SMA 0/8-0/11,146,SMA 0/8-0/11,Asfalt,steenmastiekasfalt 0/8-0/11,2018-05-02,
SMA 0/8,145,SMA 0/8,Asfalt,steenmastiekasfalt 0/8,2018-05-02,
SMA 0/6-0/8,144,SMA 0/6-0/8,Asfalt,steenmastiekasfalt 0/6-0/8,2018-05-02,
SMA 0/5,143,SMA 0/5,Asfalt,steenmastiekasfalt 0/5,2018-05-02,
SMA 0/11,142,SMA 0/11,Asfalt,steenmastiekasfalt 0/11,2018-05-02,
SMA,141,SMA,Asfalt,steenmastiekasfalt,2018-05-02,
slijtlaag,140,slijtlaag,Asfalt,slijtlaag,2018-05-02,slijtlaag
slemlaag,139,slemlaag,Asfalt,slemlaag,2018-05-02,
rode slijtlaag,136,rode slijtlaag,Asfalt,rode slijtlaag,2018-05-02,
OAB 0/8-0/11,128,OAB 0/8-0/11,Asfalt,open asfaltbeton 0/8-0/11,2018-05-02,
OAB 0/8,127,OAB 0/8,Asfalt,open asfaltbeton 0/8,2018-05-02,
OAB 0/22,126,OAB 0/22,Asfalt,open asfaltbeton 0/22,2018-05-02,
OAB 0/16-0/22,125,OAB 0/16-0/22,Asfalt,open asfaltbeton 0/16-0/22,2018-05-02,
OAB 0/16,124,OAB 0/16,Asfalt,open asfaltbeton 0/16,2018-05-02,
OAB 0/11-0/16,123,OAB 0/11-0/16,Asfalt,open asfaltbeton 0/11-0/16,2018-05-02,
OAB 0/11,122,OAB 0/11,Asfalt,open asfaltbeton 0/11,2018-05-02,
OAB,121,OAB,Asfalt,open asfaltbeton,2018-05-02,
Novachip 8/11,120,Novachip 8/11,Asfalt,Novachip 8/11,2018-05-02,
Novachip 4/8,119,Novachip 4/8,Asfalt,Novachip 4/8,2018-05-02,
Novachip 2/6,118,Novachip 2/6,Asfalt,Novachip 2/6,2018-05-02,
Microville,117,Microville,Asfalt,Microville,2018-05-02,
koud asfalt 0/16,107,koud asfalt 0/16,Asfalt,koud asfalt 0/16,2018-05-02,
koud asfalt 0/11,106,koud asfalt 0/11,Asfalt,koud asfalt 0/11,2018-05-02,
