Pagina,Id,Omschrijving,Begin geldigheid,Gerelateerd
Zeer goed,5,Zeer goed,2011-10-06,
Slecht,4,Slecht,2011-10-06,
Ontoereikend,3,Ontoereikend,2011-10-06,onvoldoendeontoereikend
Matig,2,Matig,2011-10-06,
Goed,1,Goed,2011-10-06,
