Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
AQUON_034 - Cytochroom C oxidase subunit 1,25,AQ34_CytoxC1,AQUON_034 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_033 - Cytochroom C oxidase subunit 1,24,AQ33_CytoxC1,AQUON_033 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_032 - Cytochroom C oxidase subunit 1,23,AQ32_CytoxC1,AQUON_032 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_031 - Cytochroom B,22,AQ31_CytB,AQUON_031 - Cytochroom B,,2025-08-29,Cytocroom B regio
AQUON_030 - Cytochroom B,21,AQ30_CytB,AQUON_030 - Cytochroom B,,2025-08-29,Cytocroom B regio
AQUON_029 - Cytochroom C oxidase subunit 1,20,AQ29_CytoxC1,AQUON_029 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
"Teleo - 12S ribosomaal RNA gen (Valentini et al., 2016)",2,TL_12SrRNA,"Teleo - 12S ribosomaal RNA gen (Valentini et al., 2016)",,2025-08-29,12S ribosomaal RNA
AQUON_028 - Cytochroom C oxidase subunit 3,19,AQ28_CytCox3,AQUON_028 - Cytochroom C oxidase subunit 3,,2025-08-29,Cytochroom C oxidase subunit 3
AQUON_027 - Cytochroom C oxidase subunit 1,18,AQ27_Cytox1,AQUON_027 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_026 - Cytochroom B,17,AQ26_CytB,AQUON_026 - Cytochroom B,,2025-08-29,Cytocroom B regio
AQUON_025 - NADH dehydrogenase subunit 5,16,AQ25_NADHde5,AQUON_025 - NADH dehydrogenase subunit 5,,2025-08-29,NADH dehydrogenase subunit 5
AQUON_023 - Cytochroom C oxidase subunit 1,15,AQ23_CytoxC1,AQUON_023 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_022 - 23S ribosomaal RNA gen,14,AQ22_23SrRNA,AQUON_022 - 23S ribosomaal RNA gen,,2025-08-29,23S ribosomaal RNA gen
AQUON_020 - Cytochroom C oxidase subunit 1,13,AQ20_CytoxC1,AQUON_020 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_019 - 16S ribosomaal RNA gen,12,AQ19_16SrRNA,AQUON_019 - 16S ribosomaal RNA gen,,2025-08-29,16S ribosomaal RNA
AQUON_017 - Cytochroom C oxidase subunit 1,11,AQ17_CytoxC1,AQUON_017 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
AQUON_015 - Cytochroom C oxidase subunit 1,10,AQ15_CytoxC1,AQUON_015 - Cytochroom C oxidase subunit 1,,2025-08-29,Cytochroom C oxidase subunit 1
"MiFish - 12S ribosomaal RNA gen (Miya, 2015)",1,MF_12SrRNA,"MiFish - 12S ribosomaal RNA gen (Miya, 2015)",,2025-08-29,12S ribosomaal RNA
