Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Waterschap,4,W,Waterschap,2014-01-16,waterschap
Rijk,3,R,Rijk,2014-01-16,
Provincie,2,P,Provincie,2014-01-16,
Gemeente,1,G,Gemeente,2014-01-16,gemeente
