Pagina,Id,Omschrijving,Begin geldigheid,Gerelateerd
Niet meer aanwezig,6,Niet meer aanwezig,2018-01-26,
Te verwijderen,5,Te verwijderen,2018-01-26,
Buiten bedrijf/gesloten,4,Buiten bedrijf/gesloten,2018-01-26,
Gerealiseerd/in bedrijf/in gebruik/operationeel,3,Gerealiseerd/in bedrijf/in gebruik/operationeel,2018-01-26,
Realisatie plan,2,Realisatie plan,2018-01-26,
Planvorming,1,Planvorming,2018-01-26,
