Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Beide richtingen,3,3,Beide richtingen,2018-01-25,
Tegengesteld,2,2,Tegengesteld,2018-01-25,
Gelijk,1,1,Gelijk,2018-01-25,
