Pagina,Id,Omschrijving,Begin geldigheid,Gerelateerd
Profiel van vrije ruimte,8,Profiel van vrije ruimte,2016-03-15,profiel van vrije ruimte
Beschermingszone B,7,Beschermingszone B,2016-03-15,
Beschermingszone A,6,Beschermingszone A,2016-03-15,
Beschermingszone,5,Beschermingszone,2016-03-15,beschermingszone
Waterbergingsgebied,4,Waterbergingsgebied,2016-03-15,
Kunstwerk,3,Kunstwerk,2016-03-15,kunstwerkkunstwerk
Waterkering,2,Waterkering,2016-03-15,waterkering
Oppervlaktewaterlichaam,1,Oppervlaktewaterlichaam,2016-03-15,oppervlaktewaterlichaam
