Pagina,Id,Code,Omschrijving,Afkorting,Begin geldigheid,Gerelateerd
onbekend,5,99,onbekend,99,2011-10-15,
geen besturingswijze,4,4,geen besturingswijze,4,2011-10-15,
handmatig,3,3,handmatig,3,2011-10-15,
half-automatisch,2,2,half-automatisch,2,2011-10-15,
automatisch,1,1,automatisch,1,2011-10-15,
