Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Faalmechanismevak,7,FAALMVK,Faalmechanismevak,,2022-07-02,
Deelvak,6,DEELVK,Deelvak,,2022-07-02,deelvak
Inspectievak,5,INSTVK,Inspectievak,,2016-03-12,inspectievak
HWBP projectsectie,4,HWBPPJSTE,HWBP projectsectie,,2016-03-12,
Ondergrondsectie,3,ONDGSTE,Ondergrondsectie,,2016-03-12,
