Pagina,Id,Omschrijving,Waarde,Begin geldigheid,Gerelateerd
zeer sterk,5,zeer sterk,zeer sterk,2025-11-25,
sterk,4,sterk,sterk,2018-05-02,
matig,3,matig,matig,2018-05-02,
zwak,2,zwak,zwak,2018-05-02,
geen,1,geen,geen,2018-05-02,
