Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Beheergebied waterbeheerder,5,MA,Beheergebied waterbeheerder,2014-01-16,waterbeheergebied
Waterlichaam,4,WB,Waterlichaam,2014-01-16,oppervlaktewaterlichaam
Deelstroomgebieddistrict,3,SU,Deelstroomgebieddistrict,2014-01-16,
Stroomgebieddistrict,2,RBD,Stroomgebieddistrict,2014-01-16,stroomgebieddistrict
Lidstaat,1,MS,Lidstaat,2014-01-16,
