Pagina,Id,Omschrijving,Begin geldigheid,Gerelateerd
week,6,week,2011-11-11,
uur,5,uur,2011-11-11,
maand,4,maand,2011-11-11,
kwartaal,3,kwartaal,2011-11-11,
jaar,2,jaar,2011-11-11,
dag,1,dag,2011-11-11,
