Pagina,Id,Code,Omschrijving,Afkorting,Begin geldigheid,Gerelateerd
Waterschap,4,24,Waterschap,,2017-12-11,waterschap
Rijk,3,23,Rijk,,2017-12-11,
Provincie,2,22,Provincie,,2017-12-11,
Gemeente,1,21,Gemeente,,2017-12-11,gemeente
