Pagina,Id,Omschrijving,Groep,Waarde,Begin geldigheid,Gerelateerd
g3 (20-50 %),6,g3 (20-50 %),NEN6693,g3 (20-50 %),2025-11-25,
g2 (5-20 %),5,g2 (5-20 %),NEN6693,g2 (5-20 %),2025-11-25,
g3 (15-30 %),4,g3 (15-30 %),NEN5104,g3 (15-30 %),2025-11-25,
g2 (5-15 %),3,g2 (5-15 %),NEN5104,g2 (5-15 %),2025-11-25,
g1 (0-5 %),2,g1 (0-5 %),NEN5104/NEN6693,g1 (0-5 %),2025-11-25,
geen grind,1,geen grind,,geen grind,2018-05-02,
