Pagina,Id,Code,Omschrijving,Groep,Symbool,Begin geldigheid,Gerelateerd
Waterslaginstallatie,463,wsi,Waterslaginstallatie,,,2018-11-24,waterslaginstallatie
Optische signalering,462,os-,Optische signalering,,,2018-11-24,
Opslagruimte,461,osr,Opslagruimte,,,2018-11-24,opslagruimte
Bedrijfsgebouw,460,bdb,Bedrijfsgebouw,,,2018-11-24,bedrijfsgebouw
Naverbrander,46,nb-,Naverbrander,,,2016-01-28,naverbrander
Zonnepaneel,459,zp-,Zonnepaneel,,,2018-10-27,
Werkplaatsmaterieel,458,wpm,Werkplaatsmaterieel,,,2018-10-27,werkplaatsmaterieel
Werkplaats,457,wp-,Werkplaats,,,2018-10-27,werkplaats
Woning,456,wo-,Woning,,,2018-10-27,
WKK-ruimte,455,wkr,WKK-ruimte,,,2018-10-27,wkk-ruimte
WKK-gebouw,454,wkg,WKK-gebouw,,,2018-10-27,wkk-gebouw
Waterkering,453,wk-,Waterkering,,,2018-10-27,waterkering
Toiletruimte,452,wc-,Toiletruimte,,,2018-10-27,
Wasbak,451,wbk,Wasbak,,,2018-10-27,
Weegbrug,450,wb-,Weegbrug,,,2018-10-27,
Gootborstel,45,gb-,Gootborstel,,,2016-01-28,gootborstel
Verwarmingsgebouw,449,vwg,Verwarmingsgebouw,,,2018-10-27,
Looprandverwarming,448,vwe,Looprandverwarming,,,2018-10-27,looprandverwarming
Ventilatierooster,447,vtr,Ventilatierooster,,,2018-10-27,ventilatierooster
Ventielenkast,446,vkt,Ventielenkast,,,2018-10-27,ventielenkast
Verstelinrichting,445,vsi,Verstelinrichting,,,2018-10-27,verstelinrichting
Vetsmeerapparaat,444,vsa,Vetsmeerapparaat,,,2018-10-27,vetsmeerapparaat
Verwarmingsruimte,443,vr-,Verwarmingsruimte,,,2018-10-27,verwarmingsruimte
Voorlichtingsruimte,442,vlr,Voorlichtingsruimte,,,2018-10-27,voorlichtingsruimte
Verladingsinstallatie,441,vli,Verladingsinstallatie,,,2018-10-27,
Voorlichtingsgebouw,440,vlg,Voorlichtingsgebouw,,,2018-10-27,voorlichtingsgebouw
Generator,44,ge-,Generator,,,2016-01-28,generator
Vergaderruimte,439,vgr,Vergaderruimte,,,2018-10-27,
Voedingskabel,438,vdk,Voedingskabel,,,2018-10-27,
Vacuüminstallatie,437,vci,Vacuüminstallatie,,,2018-11-24,vacuüminstallatie
Toevoerpomp zandfiltratie,436,tzf,Toevoerpomp zandfiltratie,,,2018-10-27,
Terrein,435,trn,Terrein,,,2018-10-27,terrein
Traforuimte,434,tr-,Traforuimte,,,2018-10-27,traforuimte
Technischeruimte,433,tnr,Technischeruimte,,,2018-10-27,
Telemetriesysteem,432,tms,Telemetriesysteem,,,2018-10-27,
Trappenhuis,431,th-,Trappenhuis,,,2018-10-27,trappenhuis
Telefoonkabel,430,tfk,Telefoonkabel,,,2018-10-27,
Gasfakkel,43,gf-,Gasfakkel,,,2016-01-28,gasfakkel
Talud- en bodembescherming,429,tbb,Talud- en bodembescherming,,,2018-10-27,
Slibverwarmingsruimte,428,svr,Slibverwarmingsruimte,,,2018-10-27,
Slibverwerkingsgebouw,427,svg,Slibverwerkingsgebouw,,,2018-10-27,
Server,426,srv,Server,,,2018-10-27,
Serverruimte,425,srt,Serverruimte,,,2018-10-27,
Schakelruimte,424,sr-,Schakelruimte,,,2018-10-27,schakelruimte
Slibontvangstgebouw,423,sov,Slibontvangstgebouw,,,2018-10-27,
Slibontwateringsruimte,422,sor,Slibontwateringsruimte,,,2018-10-27,
Slibontwateringsgebouw,421,sog,Slibontwateringsgebouw,,,2018-10-27,slibontwateringgebouw
Sluis,420,sls,Sluis,,,2018-10-27,sluis
Desinfectiecircuit,42,dic,Desinfectiecircuit,,,2016-01-28,desinfectiecircuit
Serverkast,419,sks,Serverkast,,,2018-10-27,
Schakelkast,418,sk-,Schakelkast,,,2018-10-27,schakelkast
Slibindikruimte,417,sir,Slibindikruimte,,,2018-10-27,slibindikruimte
Slibindikgebouw,416,sig,Slibindikgebouw,,,2018-10-27,slibindikgebouw
Spoelinrichting,415,si-,Spoelinrichting,,,2018-10-27,
Slanghaspel,414,sh-,Slanghaspel,,,2018-10-27,slanghaspel
Signaalkabel,413,sgk,Signaalkabel,,,2018-10-27,
Stuw,412,suw,Stuw,,,2018-10-27,stuw
Registratiezuil,411,rzs,Registratiezuil,,,2018-10-27,registratiezuil slibtransport
Reclamezuil,410,rz-,Reclamezuil,,,2018-10-27,
CV-installatie,41,cv-,CV-installatie,,,2016-01-28,verwarmingsinstallatie
Rioolwaterverzamelvat,409,rvv,Rioolwaterverzamelvat,,,2018-10-27,
Rivier,408,riv,Rivier,,,2018-10-27,rivier
Leidingreiniger,407,ri-,Leidingreiniger,,,2018-10-27,leidingreiniger
Roostergoedstortkoker,406,rgr,Roostergoedstortkoker,,,2018-10-27,roostergoedstortkoker
Roostergoedgebouw,405,rgg,Roostergoedgebouw,,,2018-10-27,roostergoedgebouw
Pulsatiedemper,404,psd,Pulsatiedemper,,,2018-10-27,pulsatiedemper
Palletopslag,403,po-,Palletopslag,,,2018-10-27,
Persluchtinstallatie,402,pli,Persluchtinstallatie,,,2018-10-27,
Polymeer doseer unit,401,pdu,Polymeer doseer unit,,,2018-10-27,
Plensdouche,400,pd-,Plensdouche,,,2018-10-27,plensdouche
Droogslibtransportinstallatie,40,dst,Droogslibtransportinstallatie,,,2016-01-28,droogslibtransportinstallatie
Kleppenregister,4,krg,Kleppenregister,,,2016-01-28,kleppenregister
Persoonlijke beschermingsmiddelen,399,pbm,Persoonlijke beschermingsmiddelen,,,2018-10-27,persoonlijke beschermingsmiddelen
Onderzoeksruimte,398,ozr,Onderzoeksruimte,,,2018-10-27,onderzoeksruimte
Overkluizing,397,ozg,Overkluizing,,,2018-10-27,overkluizing
Olieopslagruimte,396,oor,Olieopslagruimte,,,2018-10-27,
Oud metaalopslag,395,omo,Oud metaalopslag,,,2018-10-27,
Onderhoudsmaterieel,394,om-,Onderhoudsmaterieel,,,2018-10-27,onderhoudmaterieel
Overlaat,393,ol-,Overlaat,,,2018-10-27,overlaat
Onsteekunit gasfakkel,392,ogf,Onsteekunit gasfakkel,,,2018-10-27,gasfakkel
Oogdouche,391,od-,Oogdouche,,,2018-10-27,oogdouche
Na-indikker,390,ni-,Na-indikker,,,2018-10-27,na-indikker
Gemaal,39,g--,Gemaal,,,2016-01-28,gemaal
Meerpaal,389,mp-,Meerpaal,,,2018-10-27,meerpaalmeerpaal
Monsternamegebouw,388,mg-,Monsternamegebouw,,,2018-10-27,monsternamegebouw
Meer en plas,387,mep,Meer en plas,,,2018-10-27,
Meldcentrale,386,mc-,Meldcentrale,,,2018-10-27,
Laagspanningsruimte,385,lsr,Laagspanningsruimte,,,2018-10-27,laagspanningsruimte
Luchthelm,384,lhm,Luchthelm,,,2018-10-27,luchthelm
Landhoofd,383,lh-,Landhoofd,,,2018-10-27,landhoofd
Laptop,382,lap,Laptop,,,2018-10-27,
Kruipruimte,381,krr,Kruipruimte,,,2018-10-27,kruipruimte
Kunstobject,380,ko-,Kunstobject,,,2018-10-27,
Slibgemaal,38,sg-,Slibgemaal,,,2016-01-28,slibgemaal
Kleedruimte,379,klr,Kleedruimte,,,2018-10-27,kleedruimte
Kijkglas,378,kgs,Kijkglas,,,2018-10-27,
Kantoorruimte,377,kar,Kantoorruimte,,,2018-10-27,kantoorruimte
Kantine,376,kan,Kantine,,,2018-10-27,
Hydraulische unit,375,hu-,Hydraulische unit,,,2018-10-27,hydraulische unit
Hoogspanningskabel,374,hsk,Hoogspanningskabel,,,2018-10-27,
Hijs- en hefmiddelen,373,hi-,Hijs- en hefmiddelen,,,2018-10-27,hijs/hefmateriaal
Handgereedschap,372,hg-,Handgereedschap,,,2018-10-27,handgereedschap
Hal,371,hal,Hal,,,2018-10-27,hal
GSM,370,gsm,GSM,,,2018-10-27,
Primairslibgemaal,37,psg,Primairslibgemaal,,,2016-01-28,primairslibgemaal
Grijpstang,369,gs-,Grijpstang,,,2018-10-27,grijpstang
Gasmotorruimte,368,gmr,Gasmotorruimte,,,2018-10-27,gasmotorruimte
Geluiddemper,367,gd-,Geluiddemper,,,2018-10-27,geluiddemper
Gat,366,gat,Gat,,,2018-10-27,
Expansievat,365,exv,Expansievat,,,2018-10-27,expansievat
Elektromagneet,364,emn,Elektromagneet,,,2018-10-27,
Drinkwaterinstallatie,363,dwi,Drinkwaterinstallatie,,,2018-10-27,drinkwaterinstallatie
Drukvat,362,dv-,Drukvat,,,2018-10-27,drukvat
Doucheruimte,361,dr-,Doucheruimte,,,2018-10-27,doucheruimte
Dummy,360,dmy,Dummy,,,2018-10-27,dummy
Bergbezinkbassingemaal,36,bbg,Bergbezinkbassingemaal,,,2016-01-28,bergbezinkbassingemaal
Draagbare meetinstrumenten,359,dmi,Draagbare meetinstrumenten,,,2018-10-27,
Desinfectieruimte,358,dir,Desinfectieruimte,,,2018-10-27,desinfectieruimte
Deflectieschot,357,dfs,Deflectieschot,,,2018-10-27,deflectieschot
Duiker,356,d--,Duiker,,,2018-10-27,duikerduiker
Containergebouw,354,ctg,Containergebouw,,,2018-10-27,containergebouw
Circulatiepompwarmtewisselaar,353,cpw,Circulatiepompwarmtewisselaar,,,2018-10-27,
Compressorruimte,352,cpr,Compressorruimte,,,2018-10-27,compressorruimte
Compressorgebouw,351,cpg,Compressorgebouw,,,2018-10-27,compressorgebouw
Coupure,350,cpe,Coupure,,,2018-10-27,coupure
Tussengemaal,35,tg-,Tussengemaal,,,2016-01-28,tussengemaal
Computer,349,cmp,Computer,,,2018-10-27,
Communicatiekabel,348,cmk,Communicatiekabel,,,2018-10-27,
Camera,347,cam,Camera,,,2018-10-27,
Compensator,346,c--,Compensator,,,2018-10-27,
Bedrijfswaterruimte,345,bwr,Bedrijfswaterruimte,,,2018-10-27,bedrijfswaterruimte
Bedrijfswaterinstallatie,344,bwi,Bedrijfswaterinstallatie,,,2018-10-27,
Bemalingsvijzel,342,bmv,Bemalingsvijzel,,,2018-10-27,
Bemalingspomp,341,bmp,Bemalingspomp,,,2018-10-27,
Blowerruimte,340,blr,Blowerruimte,,,2018-10-27,blowerruimte
Rioolgemaal,34,rg-,Rioolgemaal,,,2016-01-28,rioolgemaal
