Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
In ontwerp,5,5,In ontwerp,2016-03-08,
Niet van toepassing,4,4,Niet van toepassing,2016-03-08,
Verwijderd,3,3,Verwijderd,2016-03-08,
Gewijzigd,2,2,Gewijzigd,2016-03-08,
Vastgesteld,1,1,Vastgesteld,2016-03-08,
