Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
Verpakte bekleding,6,VERPTBKDG,Verpakte bekleding,,2016-03-12,
Losgestort materiaal,5,LOSGSMTRAL,Losgestort materiaal,,2016-03-12,
Betonbekleding,4,BETBKDG,Betonbekleding,,2016-03-12,beton
Asfaltbekleding,3,ASFBKDG,Asfaltbekleding,,2016-03-12,asfalt
Steenzetting,2,STEENZTG,Steenzetting,,2016-03-12,steenzetting
Gras,1,GRAS,Gras,,2016-03-12,gras
