Pagina,Id,Omschrijving,Begin geldigheid,Gerelateerd
Handmatig,4,Handmatig,2016-03-10,
"Regelbaar, automatisch",3,"Regelbaar, automatisch",2016-03-10,
"Regelbaar, niet automatisch",2,"Regelbaar, niet automatisch",2016-03-10,
Niet regelbaar (vast),1,Niet regelbaar (vast),2016-03-10,
