id,naam
Id-2e36f4c7-92cb-49a3-8257-2975f71f5159,Inspectieresultaat_boomvakdeel
Id-ac261034-48d1-40fd-a93f-3c0fb5be56ae,IWSRindicator
Id-e16cd4e0-b789-484e-877e-5d1b7bf3ea1b,JA_1_of_NEE_2
Id-a4a85835-eb5d-4d1c-b7c3-f5ab043852ff,JA_of_NEE
Id-0fc88170-31a8-4e34-b14f-50ff9ce770b0,J_N_of_onbekend
Id-e41600cd-e1f1-4168-998e-b2b2ac183f70,Kabel_en_leiding_soorten
Id-24f3c542-a3c8-4de9-9ce9-169bc3a315ac,Koppelstuk_soorten
Id-f3c41b25-2cff-4a5b-86d4-6d35a6b41091,Kruinvormen
Id-8dbaa4ff-54d7-42bb-95f6-3b87fd0c332b,KRWhydromorfologische_parameter
Id-eee758b3-e9a9-4137-bfc0-f9a9bcbd357a,KRWKwaliteitselement
Id-48c8f850-9f54-4dea-9562-ad5db42f721e,Leidingdeel_soorten
Id-a1d4630f-35ed-4e2a-bd57-4beaf837689d,Lijnvormige_beplanting_soorten
Id-7adcd539-63bf-4ee6-9716-d92718216234,Lozingsvoorziening_soorten
Id-b54ebf4a-1d97-41ec-b915-d5d3268707db,L_R_B
Id-e96fe356-41d9-42eb-bbc0-7aab27743554,Mapping_SDN_P01
Id-504d3e4d-36df-425b-8d7b-85c1ffedcd4c,Materialen_voor_afvalwatertransportwerken
Id-4b1fdd3e-f334-417b-8975-88a615963462,Materialen_voor_bekleding_waterkering
Id-8ba0715f-65d0-4532-9883-abdb6175fbcc,Materialen_voor_bekleding_waterkering_of_profiel
Id-fe209146-858a-4193-8211-5f29d76d824d,Materialen_voor_profielverdedigingen
Id-767960c6-6cdd-4297-aca9-09fc4e9d2825,Meting
Id-10f44508-a68d-4ade-a370-f3145abf32d5,Ontluchter_soorten
Id-5c3b3f45-8921-409a-9216-043d557cb058,Onttrekkingsvoorziening_soorten
Id-a5830390-1b38-49ab-bde7-c66e61d1d972,Onttrekkingtype
Id-2ea2b22e-7153-4ca4-a5a6-15bf9f856786,Opmerking_inspectie
Id-b748dd68-121b-4edd-9a6b-0796dfc69a60,Opmerking_weglaag
Id-7e8a5d8f-328a-411e-be9a-36304eb3d389,OppervlakteCategorieStoomgebiedtype
Id-fd275aa1-be90-4d37-8861-6e5a15876ba2,Overige_vastgoedelement_soorten
Id-f2090dc4-967b-4342-99bd-6dec2f6279ad,Plaatsbepalingsapparaat
Id-d166c699-c8f5-4bbc-b8d9-e73191de7e38,Profiellijn_soorten
