Pagina,Id,Code,Omschrijving,Groep,Opgericht_in,Opgeheven_per,Namespace,Begin geldigheid,Gerelateerd
Waterschapsbedrijf Limburg,30,30,Waterschapsbedrijf Limburg,Waterschap,,,NL30,2011-10-01,
Zuiveringschap Drenthe,3,03,Zuiveringschap Drenthe,Waterschap,,1999/12/31,NL03,2011-10-01,
Waterschap De Maaskant,29,29,Waterschap De Maaskant,Waterschap,,31-12-03,NL29,2011-10-01,
Waterschap De Aa,28,28,Waterschap De Aa,Waterschap,,31-12-03,NL28,2011-10-01,
Waterschap De Dommel,27,27,Waterschap De Dommel,Waterschap,,,NL27,2011-10-01,
Hoogheemraadschap Alm en Biesbosch,26,26,Hoogheemraadschap Alm en Biesbosch,Waterschap,,31-12-04,NL26,2011-10-01,
Waterschap Brabantse Delta,25,25,Waterschap Brabantse Delta,Waterschap,,,NL25,2011-10-01,
Waterschap Hulster Ambacht,24,24,Waterschap Hulster Ambacht,Waterschap,,31-12-98,NL24,2011-10-01,
Waterschap Zeeuws-Vlaanderen,23,23,Waterschap Zeeuws-Vlaanderen,Waterschap,1996-01-01T00:00:00,31-12-10,NL23,2011-10-01,
Waterschap Vrije van Sluis,22,22,Waterschap Vrije van Sluis,Waterschap,,31-12-95,NL22,2019-03-13,
Waterschap Walcheren,21,21,Waterschap Walcheren,Waterschap,,31-12-95,NL21,2011-10-01,
Waterschap Noord- en Zuid-Beveland,20,20,Waterschap Noord- en Zuid-Beveland,Waterschap,,31-12-95,NL20,2019-03-13,
Wetterskip Fryslân,2,02,Wetterskip Fryslân,Waterschap,,,NL02,2011-10-26,
Waterschap Zeeuwse Eilanden,18,18,Waterschap Zeeuwse Eilanden,Waterschap,1996-01-01T00:00:00,31-12-10,NL18,2011-10-01,
Zuiveringsschap Hollandse Eilanden en Waarden,17,17,Zuiveringsschap Hollandse Eilanden en Waarden,Waterschap,,31-12-04,NL17,2011-10-01,
Hoogheemraadschap van Schieland,16,16,Hoogheemraadschap van Schieland,Waterschap,,31-12-04,NL16,2011-10-01,
Hoogheemraadschap van Delfland,15,15,Hoogheemraadschap van Delfland,Waterschap,,,NL15,2011-10-01,
Hoogheemraadschap De Stichtse Rijnlanden,14,14,Hoogheemraadschap De Stichtse Rijnlanden,Waterschap,,,NL14,2011-10-01,
Hoogheemraadschap van Rijnland,13,13,Hoogheemraadschap van Rijnland,Waterschap,,,NL13,2011-10-01,
Hoogheemraadschap Hollands Noorderkwartier,12,12,Hoogheemraadschap Hollands Noorderkwartier,Waterschap,,,NL12,2011-10-01,
"Waterschap Amstel, Gooi en Vecht",11,11,"Waterschap Amstel, Gooi en Vecht",Waterschap,,,NL11,2019-03-13,
Waterschap Vallei en Eem,10,10,Waterschap Vallei en Eem,Waterschap,,31-12-12,NL10,2013-11-28,
Zuiveringsbeheer Provincie Groningen,1,01,Zuiveringsbeheer Provincie Groningen,Waterschap,,1999/12/31,NL01,2011-10-01,
